[2025-08-09 16:34:27,597] NetworkSimulator INFO: 添加基站配置: ZH1-eNB (IP: 192.168.55.158, UEs: 2000)
[2025-08-09 16:34:27,597] NetworkSimulator INFO: 添加基站配置: ZH2-eNB (IP: 192.168.56.159, UEs: 2000)
[2025-08-09 16:34:27,598] NetworkSimulator INFO: 添加基站配置: ZH3-eNB (IP: 192.168.56.160, UEs: 2000)
[2025-08-09 16:34:27,598] NetworkSimulator INFO: 开始启动 3 个基站...
[2025-08-09 16:34:31,030] NetworkSimulator INFO: 基站启动完成: 3/3
[2025-08-09 16:34:41,041] NetworkSimulator INFO: 仿真器状态: 3/3 基站运行中
[2025-08-09 16:34:51,052] NetworkSimulator INFO: 仿真器状态: 3/3 基站运行中
[2025-08-09 16:35:01,063] NetworkSimulator INFO: 仿真器状态: 3/3 基站运行中
[2025-08-09 16:35:05,278] NetworkSimulator INFO: 收到信号 2，开始优雅停机...
[2025-08-09 16:35:05,279] NetworkSimulator INFO: 开始停止所有基站...
[2025-08-09 16:35:05,473] NetworkSimulator INFO: 收到信号 2，开始优雅停机...
[2025-08-09 16:35:05,474] NetworkSimulator INFO: 开始停止所有基站...
[2025-08-09 16:35:05,480] NetworkSimulator INFO: 所有基站已停止
[2025-08-09 16:35:05,481] NetworkSimulator INFO: 开始停止所有基站...
[2025-08-09 16:35:05,481] NetworkSimulator INFO: 所有基站已停止
